State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Telangana,MEDAK,Potato,,Whole Year,2997,Hectare,38830,Tonnes,12.95628962
Telangana,MEDAK,Potato,,Rabi,2408,Hectare,28990,Tonnes,12.03903654
Telangana,MEDAK,Potato,,Rabi,1671,Hectare,19825,Tonnes,11.8641532
Telangana,RANGAREDDI,Potato,,Whole Year,513,Hectare,8552,Tonnes,16.6705653
Telangana,RANGAREDDI,Potato,,Kharif,9,Hectare,173,Tonnes,19.22222222
Telangana,RANGAREDDI,Potato,,Rabi,627,Hectare,12052,Tonnes,19.22169059
Telangana,RANGAREDDI,Potato,,Rabi,549,Hectare,8641,Tonnes,15.73952641
Telangana,ADILABAD,Ragi,,Rabi,8,Hectare,9,Tonnes,1.125
Telangana,ADILABAD,Ragi,,Rabi,4,Hectare,2,Tonnes,0.5
Telangana,MAHBUBNAGAR,Ragi,,Kharif,933,Hectare,1154,Tonnes,1.236870311
Telangana,MAHBUBNAGAR,Ragi,,Rabi,184,Hectare,286,Tonnes,1.554347826
Telangana,MAHBUBNAGAR,Ragi,,Kharif,879,Hectare,639,Tonnes,0.726962457
Telangana,MAHBUBNAGAR,Ragi,,Rabi,206,Hectare,150,Tonnes,0.72815534
Telangana,MAHBUBNAGAR,Ragi,,Kharif,587,Hectare,236,Tonnes,0.402044293
Telangana,MAHBUBNAGAR,Ragi,,Rabi,118,Hectare,47,Tonnes,0.398305085
Telangana,MEDAK,Ragi,,Kharif,10,Hectare,14,Tonnes,1.4
Telangana,MEDAK,Ragi,,Kharif,5,Hectare,6,Tonnes,1.2
Telangana,MEDAK,Ragi,,Kharif,4,Hectare,2,Tonnes,0.5
Telangana,NIZAMABAD,Ragi,,Rabi,2,Hectare,2,Tonnes,1
Telangana,RANGAREDDI,Ragi,,Kharif,261,Hectare,559,Tonnes,2.141762452
Telangana,RANGAREDDI,Ragi,,Rabi,327,Hectare,508,Tonnes,1.55351682
Telangana,RANGAREDDI,Ragi,,Kharif,312,Hectare,688,Tonnes,2.205128205
Telangana,RANGAREDDI,Ragi,,Rabi,115,Hectare,254,Tonnes,2.208695652
