State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,WARANGAL,Cotton(lint),01-03-2002,Kharif,119478,Hectare,169378,Bales,1.417650111
Andhra Pradesh,WARANGAL,Cotton(lint),01-04-2003,Kharif,123549,Hectare,279075,Bales,2.258820387
Andhra Pradesh,WEST GODAVARI,Cotton(lint),01-02-2001,Kharif,3269,Hectare,8538,Bales,2.611807892
Andhra Pradesh,WEST GODAVARI,Cotton(lint),01-03-2002,Kharif,940,Hectare,1670,Bales,1.776595745
Andhra Pradesh,WEST GODAVARI,Cotton(lint),01-04-2003,Kharif,3759,Hectare,11189,Bales,2.976589518
Andhra Pradesh,ADILABAD,Dry chillies,01-02-2001,Kharif,5927,Hectare,3497,Tonnes,0.59001181
Andhra Pradesh,ADILABAD,Dry chillies,01-02-2001,Rabi,601,Hectare,1656,Tonnes,2.755407654
Andhra Pradesh,ADILABAD,Dry chillies,01-03-2002,Kharif,9062,Hectare,5836,Tonnes,0.644007945
Andhra Pradesh,ADILABAD,Dry chillies,01-03-2002,Rabi,289,Hectare,718,Tonnes,2.484429066
Andhra Pradesh,ADILABAD,Dry chillies,01-04-2003,Kharif,10103,Hectare,12760,Tonnes,1.262991191
Andhra Pradesh,ADILABAD,Dry chillies,01-04-2003,Rabi,310,Hectare,1012,Tonnes,3.264516129
Andhra Pradesh,ANANTAPUR,Dry chillies,01-02-2001,Kharif,3765,Hectare,7127,Tonnes,1.892961487
Andhra Pradesh,ANANTAPUR,Dry chillies,01-02-2001,Rabi,108,Hectare,168,Tonnes,1.555555556
Andhra Pradesh,ANANTAPUR,Dry chillies,01-03-2002,Kharif,2737,Hectare,6128,Tonnes,2.238947753
Andhra Pradesh,ANANTAPUR,Dry chillies,01-03-2002,Rabi,83,Hectare,161,Tonnes,1.939759036
Andhra Pradesh,ANANTAPUR,Dry chillies,01-04-2003,Kharif,2920,Hectare,10702,Tonnes,3.665068493
Andhra Pradesh,ANANTAPUR,Dry chillies,01-04-2003,Rabi,91,Hectare,190,Tonnes,2.087912088
Andhra Pradesh,CHITTOOR,Dry chillies,01-02-2001,Kharif,443,Hectare,641,Tonnes,1.446952596
Andhra Pradesh,CHITTOOR,Dry chillies,01-02-2001,Rabi,2958,Hectare,4609,Tonnes,1.558147397
Andhra Pradesh,CHITTOOR,Dry chillies,01-03-2002,Kharif,519,Hectare,791,Tonnes,1.524084778
Andhra Pradesh,CHITTOOR,Dry chillies,01-03-2002,Rabi,2199,Hectare,4253,Tonnes,1.934060937
Andhra Pradesh,CHITTOOR,Dry chillies,01-04-2003,Kharif,412,Hectare,1014,Tonnes,2.461165049
Andhra Pradesh,CHITTOOR,Dry chillies,01-04-2003,Rabi,2792,Hectare,5832,Tonnes,2.088825215
Andhra Pradesh,EAST GODAVARI,Dry chillies,01-02-2001,Kharif,628,Hectare,2274,Tonnes,3.621019108
Andhra Pradesh,EAST GODAVARI,Dry chillies,01-02-2001,Rabi,936,Hectare,1882,Tonnes,2.010683761
Andhra Pradesh,EAST GODAVARI,Dry chillies,01-03-2002,Kharif,512,Hectare,1011,Tonnes,1.974609375
Andhra Pradesh,EAST GODAVARI,Dry chillies,01-03-2002,Rabi,597,Hectare,993,Tonnes,1.663316583
Andhra Pradesh,EAST GODAVARI,Dry chillies,01-04-2003,Kharif,1070,Hectare,4714,Tonnes,4.405607477
